Pursat_PV,Phnom_Penh_PV,Siem_Reap_PV,Kampot_wind,Viet_wind
47665.92990255499,46381.720508924926,45829.49516055373,53275.35592324666,52830.06418722746
32180.041910710206,30653.430056872545,30880.40222797937,53262.834106890885,53023.59383618532
11869.412777384412,10644.55001974473,10846.935016101565,53085.105603319746,52925.079674904126
0.0,0.0,0.0,52553.55585070813,52522.27704882759
0.0,0.0,0.0,49949.58739246838,51112.90078540231
0.0,0.0,0.0,47238.85552582344,49827.994398062234
0.0,0.0,0.0,44654.09556903402,48081.60994099949
0.0,0.0,0.0,41876.250228628225,46428.45701422663
0.0,0.0,0.0,35426.07309731259,48618.81866248692
0.0,0.0,0.0,36025.276616307434,52703.80771675389
0.0,0.0,0.0,50563.25045755024,53104.95874370667
0.0,0.0,0.0,53045.22258052174,52169.71009796825
0.0,0.0,0.0,52542.57660877074,52437.01051562994
0.0,0.0,0.0,51708.34217834148,52328.33211988323
0.0,0.0,0.0,50375.37959767263,51421.209833324996
0.0,0.0,0.0,48963.99332113913,50989.26246414716
5431.409510525043,6799.366531561527,5230.578168398974,45535.48861529746,49751.131528639205
26059.17893958732,27052.51547970538,9100.914532588185,43512.244599165846,47817.52191637512
37661.15112127074,36153.49336292461,43068.793167096024,43040.03718700736,48109.762866515724
53476.132210461976,54666.36079429142,53005.520739005195,42045.074504066426,47381.213248134016
61040.383577927096,49670.36864055661,60256.41652011689,40209.00624281803,44144.76305692649
63640.10958622326,63535.9973107988,62395.37146573901,37001.28427371899,40846.465685157375
61041.26883897061,61001.532696153874,58365.60138552844,36262.32443502526,39886.1868036728
55406.808854976334,55053.22273862025,52193.517429907166,37283.92636101667,40089.87128979487
44424.973295736396,44364.97445879477,42031.01013068089,40967.40217294166,41485.974972216965
28924.432035872425,28673.509339060172,27285.223543664197,40963.20711719148,41947.47092907046
9950.017608737291,9276.943949166147,8914.560995975318,43630.38749072485,45728.46219417211
0.0,0.0,0.0,42316.86198052825,45936.47219234805
0.0,0.0,0.0,42968.947092386086,48523.54736329448
0.0,0.0,0.0,44799.46343089879,48563.493569316444
0.0,0.0,0.0,44011.461637441214,47752.387442272826
0.0,0.0,0.0,41350.939186295145,45743.9950411455
0.0,0.0,0.0,35346.42338580435,41802.58390653834
0.0,0.0,0.0,27860.0746020461,35085.934631421616
0.0,0.0,0.0,23835.05925184786,28430.59875336631
0.0,0.0,0.0,23390.458927430176,26561.42522622591
0.0,0.0,0.0,25592.857711064502,27199.28423470662
0.0,0.0,0.0,27380.3055306523,29006.669893453298
0.0,0.0,0.0,28714.17758915546,31102.79193161532
0.0,0.0,0.0,28517.474711116047,35265.6564693918
4653.776920787994,6447.8359133654285,4319.519493475266,30312.429563294558,36826.65115229503
23861.493956178423,26466.59487155809,23395.69324289913,33237.741118394,33088.390937629185
41134.5702760849,44174.24724424821,40274.84135611578,34197.5181924001,26194.81753150067
54228.498127805346,27488.00738004563,52121.312863917745,31823.173815647613,18911.60113545828
61554.38071170294,61289.581506219525,59792.46009361137,26750.180809909718,14323.606749077613
64466.32997338191,63307.864703322426,63230.71936109525,20770.293285219122,10809.550021198098
30837.78509230273,58929.485504869626,60337.928792123224,16029.315330287456,11164.593836489887
55519.30313572256,53408.08501932106,54362.22505203517,14521.490050528837,8804.371938525648
44809.329697474685,42917.550963519585,43489.97700920465,15152.27534488654,3609.4394689057326
29618.4973234667,21298.052710588185,28098.567705170633,19188.71817069643,418.3096405557472
10445.969209832818,5237.3947363083835,9203.244895716663,19548.46068405955,430.0355440951345
0.0,0.0,0.0,11643.177656396956,4231.128753956697
0.0,0.0,0.0,7901.299194386439,8423.792370481111
0.0,0.0,0.0,12060.052125267042,10511.758723499683
0.0,0.0,0.0,21801.06397859,9883.845788760369
0.0,0.0,0.0,23914.90190898826,8773.324920537392
0.0,0.0,0.0,16331.210030599073,9956.9236109386
0.0,0.0,0.0,13950.860926959676,14155.53514268277
0.0,0.0,0.0,13031.191351891825,19570.421210556688
0.0,0.0,0.0,13965.672166817982,25620.442406083766
0.0,0.0,0.0,18495.640423920602,30082.377992601705
0.0,0.0,0.0,21723.843358841714,26587.508520451207
0.0,0.0,0.0,17483.270852913043,23044.16043376033
0.0,0.0,0.0,14006.81071063004,19657.61684810919
4205.199931720081,5505.582935184857,3747.7284217601805,10463.866025281617,15936.381186015706
22613.762786490774,24687.79927474306,22213.851213721842,7963.420623193909,11781.153276061787
40339.535934015876,42006.217189236166,39500.44058169321,5891.368291235451,10876.355865507197
53167.17054262301,53867.15032750026,48620.153049384084,3976.469339025757,11090.058727677337
43540.58490964048,61483.764503929764,57953.98751161373,2807.673068476276,10864.859336953785
25235.673347338587,39576.413714158036,60651.352128105726,2796.071048717407,9249.442932345319
18082.895487612815,61466.02828150786,59612.61194693437,3264.682637918414,8613.366217711637
56860.50114823785,55079.54597307153,52802.33794401421,3349.4021931905377,8121.877466792462
45488.28256340874,44384.2381030987,41859.22074881119,3528.6164201129677,9835.541884601402
29704.782348274555,28791.837728794595,26406.425357747597,5019.164618367743,15707.932329406249
10375.610644106664,9692.354362335305,8432.293528003904,7215.022246100903,23327.213416923216
0.0,0.0,0.0,13897.795817695005,30554.189006212797
0.0,0.0,0.0,23203.354035990706,35242.49821419711
0.0,0.0,0.0,25919.793564423733,35132.328813608765
0.0,0.0,0.0,25917.208667791034,25124.360023514095
0.0,0.0,0.0,23502.0369817604,12836.101902085946
0.0,0.0,0.0,20632.877223374482,7170.940965613064
0.0,0.0,0.0,17006.109724713042,5052.315562729409
0.0,0.0,0.0,14799.795559179163,8079.665248124328
0.0,0.0,0.0,15816.235024745538,14759.31790273547
